"Title","Average_2014","Total_2014","Average_2015","Total_2015","Average_2016","Total_2016","Average_2017","Total_2017","Average_2018","Total_2018","Average_2019","Total_2019","Average_2020","Total_2020"
"ANNUAL ED PARA","$72.85","$1,207,329","$68.25","$1,210,594","$71.90","$1,376,000","$75","$1,504,054","$78.87","$1,579,509","$87.52","$1,764,835","$0.00","$0"
"APPRAISER","$306.74","$2,147","$850.86","$4,254","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"APPRENTICE","$2,605.46","$65,136","$4,142.79","$157,426","$3,605.45","$158,640","$5,055","$753,212","$1,996.14","$225,563","$3,937.02","$311,025","$4,649.89","$130,197"
"APPRENTICE INSPECTOR","$5,283.03","$274,717","$3,693.29","$214,211","$3,675.93","$253,639","$2,777","$249,891","$3,490.15","$307,133","$2,413.58","$234,117","$2,076.17","$249,140"
"ARCHITECT","$2,454.50","$206,178","$3,637.43","$254,620","$3,436.66","$240,566","$3,810","$262,912","$2,548.59","$186,047","$1,783.46","$135,543","$1,093.53","$78,734"
"ARCHITECTURAL INTERN","$3,330.94","$6,662",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$0.00","$0"
"AREA MANAGER OF SCHOOL MAINTENANCE","$307.13","$5,835","$46.52","$884","$623.30","$11,843","$4","$83","$434.28","$10,423","$0.00","$0","$612.56","$12,251"
"AREA SUPERVISOR","$63,260.37","$2,214,113","$69,628.87","$2,715,526","$50,844.53","$2,593,071","$45,341","$2,221,695","$44,945.87","$2,022,564","$42,824.56","$2,226,877","$37,415.83","$1,983,039"
"ARTS PROGRAM SPECIALIST","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"ASBESTOS HANDLER","$19,138.48","$516,739","$11,729.15","$304,958","$13,408.35","$375,434","$16,574","$430,925","$19,408.38","$485,209","$22,450.71","$471,465","$25,978.64","$571,530"
"ASBESTOS HANDLER SUPERVISOR","$23,107.87","$115,539","$14,116.41","$98,815","$21,530.35","$150,712","$27,433","$192,030","$28,771.27","$201,399","$28,606.92","$200,248","$33,555.92","$234,891"
"ASBESTOS HAZARD INVESTIGATOR","$7,225.02","$65,025","$980.32","$9,803","$5,113.29","$56,246","$9,713","$106,848","$12,200.98","$122,010","$9,121.17","$54,727","$9,985.27","$49,926"
"ASIST SYSTMS ANALYST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$0.00","$0",NA,NA
"ASPHALT PLANT MANAGER",NA,NA,NA,NA,NA,NA,NA,NA,"$54,519.00","$54,519","$28,579.29","$57,159","$0.00","$0"
"ASPIRING PRINCIPAL","$0.00","$0","$0.00","$0","$0.00","$0",NA,NA,NA,NA,NA,NA,NA,NA
"ASS COMMISSIONER DESIGN AND CONSTRUCTION MANAGEMENT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$0.00","$0"
"ASSIST COORDINATING MANAGER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$176.16","$1,057",NA,NA
"ASSISTANCE FINANCE OFFICER","$5,326.50","$10,653","$9,399.50","$18,799","$7,590.77","$15,182","$7,960","$15,921","$10,426.48","$20,853","$16,053.94","$32,108","$7,726.85","$15,454"
"ASSISTANT ACCOUNTANT","$0.00","$0","$0.51","$1","$0.00","$0","$0","$0","$61.77","$124","$1.23","$2","$0.00","$0"
"ASSISTANT ADMINISTRATOR","$327.14","$2,290","$9.41","$66","$0.00","$0","$38","$306","$0.00","$0","$0.00","$0","$0.00","$0"
"ASSISTANT ADMINISTRATOR OF PUBLIC AFFAIRS","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"ASSISTANT ADVOCATE-PD","$571.54","$10,288","$1,969.43","$27,572","$1,636.32","$18,000","$4,654","$32,578",NA,NA,"$9,627.18","$28,882",NA,NA
"ASSISTANT ARCHITECT","$874.29","$42,840","$1,708.12","$68,325","$2,146.04","$92,280","$1,478","$69,489","$1,620.07","$81,003","$1,056.39","$54,932","$827.22","$39,707"
"ASSISTANT BUDGET ANALYST","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$561.42","$3,369","$257.75","$3,866","$491.80","$9,836"
"ASSISTANT CAPTAIN","$36,077.39","$469,006","$36,492.98","$401,423","$37,064.00","$407,704","$37,708","$414,791","$37,637.81","$376,378","$34,354.73","$446,611","$36,299.58","$326,696"
"ASSISTANT CARETAKER",NA,NA,"$21.62","$65",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASSISTANT CHEMICAL ENGINEER","$7,839.08","$109,747","$7,991.52","$87,907","$6,204.10","$93,061","$4,636","$64,910","$6,134.99","$79,755","$4,902.94","$83,350","$4,403.74","$79,267"
"ASSISTANT CHIEF FIRE MARSHAL","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"ASSISTANT CHIEF OF DEPARTMENT","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"ASSISTANT CITY ASSESSOR","$0.00","$0","$0.02","$0","$287.08","$9,187","$379","$7,208","$1,344.89","$22,863","$88.23","$3,176","$285.08","$13,684"
"ASSISTANT CITY HIGHWAY REPAIRER","$10,100.78","$1,454,513","$11,297.61","$1,197,547","$8,504.66","$493,270","$9,050","$380,108","$6,629.11","$629,765","$5,975.55","$663,286","$4,149.25","$497,910"
"ASSISTANT CIVIL ENGINEER","$5,679.57","$959,847","$6,410.24","$1,064,100","$5,558.34","$989,385","$4,307","$969,112","$3,865.07","$1,028,109","$3,780.51","$967,810","$3,454.03","$811,696"
"ASSISTANT COLLEGE SECURITY DIRECTOR","$0.00","$0","$2,542.40","$30,509","$10.61","$149","$867","$14,735","$0.00","$0","$185.57","$3,155","$759.76","$10,637"
"ASSISTANT COMISSIONER FOR FAMILY OPERATIONS",NA,NA,NA,NA,NA,NA,NA,NA,"$0.00","$0","$0.00","$0","$0.00","$0"
"ASSISTANT COMMISSIONER","$559.59","$20,705","$15.94","$669","$0.66","$29","$25","$1,310","$0.00","$0","$162.23","$9,571","$83.12","$5,652"
"ASSISTANT COMMISSIONER FOR AFTERCARE & PREVENTIVE SVCS",NA,NA,NA,NA,NA,NA,NA,NA,"$0.00","$0","$0.00","$0",NA,NA
"ASSISTANT COMMISSIONER FOR FACILITIES OPERATIONS",NA,NA,NA,NA,NA,NA,"$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"ASSISTANT COMMISSIONER FOR LABOR RELATIONS & ADMIN","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0",NA,NA,NA,NA,NA,NA
"ASSISTANT COMMISSIONER FOR MANAGEMENT ACD-DOSS",NA,NA,NA,NA,NA,NA,"$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"ASSISTANT COMMISSIONER OF LABOR RELATIONS","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"ASSISTANT CORPORATION COUNSEL","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$1.10","$939","$0.00","$0"
"ASSISTANT COUNSEL","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"ASSISTANT COUNSEL-PD","$17,771.03","$106,626","$27,599.58","$165,597","$14,786.66","$118,293","$11,638","$93,105","$7,454.11","$52,179","$16,097.19","$128,777","$13,136.64","$105,093"
"ASSISTANT DEAN","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"ASSISTANT DEPUTY ADMINISTRATOR",NA,NA,NA,NA,NA,NA,"$0","$0","$0.00","$0","$2,668.57","$8,006","$0.00","$0"
"ASSISTANT DEPUTY COMMISSIONER","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"ASSISTANT DEPUTY COMMISSIONER SS","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"ASSISTANT DIRECTOR","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$17,276.43","$17,276","$2,025.17","$2,025"
"ASSISTANT DIRECTOR HEALTH PROGRAM","$0.00","$0","$0.00","$0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASSISTANT DIRECTOR OF ADMINISTRATION","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"ASSISTANT DIRECTOR OF FINANCE",NA,NA,NA,NA,"$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"ASSISTANT DIRECTOR OF FORENSIC BIOLOGY","$0.00","$0","$0.00","$0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASSISTANT DIRECTOR OF INTERGROUP RELATIONS",NA,NA,NA,NA,NA,NA,"$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"ASSISTANT DIRECTOR OF LEGAL SERVICES","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"ASSISTANT DIRECTOR OF TOXICOLOGY","$0.00","$0","$0.00","$0",NA,NA,NA,NA,NA,NA,"$7,834.56","$7,835","$0.00","$0"
"ASSISTANT DISTRICT ATTORNEY","$0.00","$0","$1.62","$2,702","$1.09","$1,833","$0","$738","$0.09","$163","$0.94","$1,722","$0.77","$1,382"
"ASSISTANT DISTRICT MANAGER","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"ASSISTANT ELECTRICAL ENGINEER","$4,031.51","$205,607","$4,734.29","$222,512","$5,172.62","$274,149","$4,235","$199,065","$3,621.33","$166,581","$2,979.26","$128,108","$3,071.05","$135,126"
"ASSISTANT ENVIRONMENTAL ENGINEER","$4,396.75","$79,141","$4,266.43","$115,194","$3,942.69","$94,625","$3,209","$80,231","$4,167.10","$145,848","$3,398.83","$146,150","$1,749.18","$85,710"
"ASSISTANT EXECUTIVE DIRECTOR","$0.00","$0","$0.00","$0","$0.00","$0","$629","$4,400","$0.00","$0","$0.00","$0","$0.00","$0"
"ASSISTANT HIGHWAY TRANSPORTATION SPECIALIST","$1,393.67","$12,543","$1,796.79","$28,749","$776.17","$17,076","$2,102","$94,589","$2,905.69","$145,285","$2,594.54","$119,349",NA,NA
"ASSISTANT HOUSEKEEPER","$14.41","$14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASSISTANT HOUSING MANAGER","$3,918.78","$556,467","$1,450.04","$232,007","$1,721.31","$268,525","$2,088","$290,184","$1,747.65","$242,924","$1,187.51","$169,814","$4,606.12","$603,401"
"ASSISTANT LANDSCAPE ARCHITECT","$2,035.37","$67,167","$1,074.18","$35,448","$843.84","$34,598","$373","$14,176","$691.93","$28,369","$452.50","$19,457","$371.15","$13,361"
"ASSISTANT LAUNDRY SUPERVISOR","$1,019.19","$1,019","$755.84","$756",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASSISTANT LEGISLATIVE REPRESENTATIVE","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"ASSISTANT MECHANICAL ENGINEER","$4,712.94","$292,202","$5,326.45","$298,281","$4,465.01","$263,435","$3,863","$220,197","$3,593.44","$233,574","$3,606.87","$263,301","$3,097.16","$241,579"
"ASSISTANT MEDIA SERVICES TECHNICAN","$2,745.54","$5,491","$2,605.52","$5,211","$5,005.07","$10,010",NA,NA,NA,NA,"$2,342.96","$7,029","$377.02","$377"
"ASSISTANT PLAN EXAMINER","$6,922.96","$83,075","$10,373.85","$124,486","$3,481.61","$181,044","$1,761","$163,733","$638.92","$69,642","$500.87","$49,085","$1,726.78","$174,405"
"ASSISTANT PRINCIPAL","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"ASSISTANT PRINCIPAL ADMIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$0.00","$0"
"ASSISTANT PRINCIPAL ASSIGNED","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"ASSISTANT PRINCIPAL CUSTODIAL SUPERVISOR","$6,181.91","$30,910","$14,055.28","$56,221","$6,742.03","$26,968","$7,266","$29,063","$10,819.80","$54,099","$12,997.92","$64,990","$6,872.24","$34,361"
"ASSISTANT PRINTING PRESS OPERATOR","$387.69","$3,877","$614.19","$6,142","$994.84","$8,954","$464","$4,178","$460.38","$3,683","$394.17","$3,153","$2,044.97","$14,315"
"ASSISTANT PROFESSOR","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"ASSISTANT PURCHASING AGENT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$121.36","$121","$0.00","$0"
"ASSISTANT RESIDENT BUILDING SUPT","$17,203.39","$3,457,882","$9,154.44","$1,739,344","$11,585.85","$2,201,311","$12,683","$2,371,764","$10,661.94","$1,919,149","$12,406.83","$2,258,042","$19,089.44","$3,359,741"
"ASSISTANT RETIREMENT BENEFITS EXAMINER","$2,989.90","$230,222","$2,571.46","$141,430","$1,092.11","$69,895","$1,665","$98,219","$972.39","$49,592","$2,417.38","$118,452","$2,373.22","$99,675"
"ASSISTANT SECRETARY TO THE COMPTROLLER","$0.00","$0","$0.00","$0","$32.04","$64","$0","$0","$0.00","$0","$0.00","$0",NA,NA
"ASSISTANT SERGEANT AT ARMS","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"ASSISTANT SUPERINTENDENT","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"ASSISTANT SUPERINTENDENT OF WELFARE SHELTERS","$15,005.20","$885,307","$14,646.74","$878,804","$16,139.02","$968,341","$14,040","$912,617","$15,640.41","$1,032,267","$10,680.15","$704,890","$12,701.50","$762,090"
"ASSISTANT SUPERVISING CHIEF SURGEON",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$0.00","$0"
"ASSISTANT TEACHER","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"ASSISTANT TO DEPUTY COMPTROLLER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$0.00","$0","$0.00","$0"
"ASSISTANT TO HEO","$211.45","$47,366","$105.78","$26,232","$96.62","$29,083","$85","$26,754","$36.68","$12,067","$84.77","$28,228","$59.54","$18,459"
"ASSISTANT TO POLICE COMMISSIONOR","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"ASSISTANT TO THE CHAIRMAN",NA,NA,NA,NA,"$0.00","$0","$0","$0","$0.00","$0","$0.00","$0",NA,NA
"ASSISTANT TO THE COMMISSIONER",NA,NA,NA,NA,NA,NA,NA,NA,"$0.00","$0",NA,NA,NA,NA
"ASSISTANT TO THE COMMISSIONER OF PARKS AND RECREATION",NA,NA,NA,NA,"$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"ASSISTANT TO THE COMPTROLLER","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0",NA,NA,"$0.00","$0"
"ASSISTANT TO THE DEPUTY COMMISSIONER",NA,NA,NA,NA,"$0.00","$0","$0","$0","$0.00","$0","$0.00","$0",NA,NA
"ASSISTANT TO THE DEPUTY MAYOR","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"ASSISTANT TO THE MAYOR","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"ASSISTANT TO THE PRESIDENT","$0.00","$0","$0.00","$0","$0.00","$0","$246","$5,164","$0.00","$0","$6.99","$168","$0.00","$0"
"ASSISTANT TO THE PUBLIC ADVOCATE","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"ASSISTANT TRANSPORTATION SPECIALIST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$1,784.23","$73,154"
"ASSISTANT URBAN DESIGNER","$0.00","$0","$237.22","$1,186","$320.62","$1,924","$490","$8,816","$67.76","$1,220","$29.60","$503","$196.03","$3,332"
"ASSISTANT VICE PRESIDENT","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"ASSOC INSPECTOR","$157.84","$631","$142.80","$571","$272.33","$1,089","$701","$2,803","$267.01","$1,068","$225.40","$676","$24.17","$48"
"ASSOC SPVR OF SCHOOL SECURITY","$15,261.20","$381,530","$14,525.55","$377,664","$16,335.89","$457,405","$16,872","$489,285","$10,959.31","$295,901","$13,209.34","$356,652","$14,199.55","$411,787"
"ASSOC SUPVR OF SCHL SEC","$0.00","$0","$0.00","$0","$2.16","$6","$0","$0","$497.05","$994","$1,102.87","$3,309","$0.00","$0"
"ASSOC WATER USE INSPECTOR-MGRL",NA,NA,"$7,855.40","$7,855","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"ASSOCIATE ADMINISTRATOR","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"ASSOCIATE AIR POLLUTION INSPR","$23,602.44","$306,832","$29,642.75","$385,356","$23,948.19","$359,223","$24,824","$372,365","$23,085.86","$300,116","$22,380.26","$358,084","$22,378.52","$335,678"
"ASSOCIATE ARTS PROGRAMS SPECIALIST","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$481.29","$6,257"
"ASSOCIATE CALL CENTER REPRESENTATIVE-NON-SPVR","$1,578.17","$50,501","$580.31","$19,150","$917.87","$46,811","$477","$21,487","$526.87","$23,182","$522.46","$29,780","$1,130.87","$61,067"
"ASSOCIATE CHEMIST","$3,547.52","$337,015","$5,303.71","$551,586","$6,072.68","$619,414","$6,057","$623,871","$5,459.07","$567,743","$5,926.99","$592,699","$6,381.13","$657,256"
"Associate Commissioner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$0.00","$0"
"ASSOCIATE COMMISSIONER","$0.00","$0","$0.00","$0","$0.00","$0",NA,NA,"$19,551.58","$19,552","$0.00","$0","$0.00","$0"
"ASSOCIATE COMMISSIONER FOR ADULT SERVICES",NA,NA,"$0.00","$0","$0.00","$0","$0","$0",NA,NA,"$0.00","$0",NA,NA
"ASSOCIATE COMMISSIONER FOR EMPLOYMENT SERVICE","$0.00","$0","$0.00","$0","$0.00","$0",NA,NA,"$0.00","$0","$0.00","$0","$0.00","$0"
"ASSOCIATE COMMISSIONER FOR PERSONNEL SERVICE",NA,NA,NA,NA,NA,NA,"$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"ASSOCIATE CONTRACT SPECIALIST","$121.40","$6,070","$371.10","$28,574","$324.24","$23,994","$237","$19,943","$183.21","$13,008","$48.20","$2,458","$86.79","$5,555"
"ASSOCIATE CORRECTIONAL COUNSELOR","$376.09","$7,522","$593.03","$11,861","$568.83","$23,891","$301","$18,643","$5,659.45","$350,886","$1,344.34","$73,938","$385.18","$23,881"
"ASSOCIATE COUNSEL","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"ASSOCIATE DEAN","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"ASSOCIATE DIRECTOR OF NURSING SERVICES","$0.00","$0","$0.00","$0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASSOCIATE DIRECTOR, BOROUGH IMPROVEMENT BOARD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$0.00","$0"
"ASSOCIATE EDUCATION ANALYST","$604.50","$32,643","$1,165.61","$52,452","$1,020.59","$47,968","$688","$33,711","$558.82","$29,617","$708.82","$23,391","$871.92","$22,670"
"ASSOCIATE EDUCATION OFFICER","$308.00","$34,188",NA,NA,NA,NA,"$542","$11,933",NA,NA,"$121.39","$5,220",NA,NA
"ASSOCIATE EXECUTIVE DIRECTOR","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0",NA,NA,"$0.00","$0",NA,NA
"ASSOCIATE FINGERPRINT TECHNICIAN","$2,012.14","$52,316","$1,921.45","$46,115","$2,746.16","$68,654","$2,282","$77,599","$2,496.96","$77,406","$2,025.93","$62,804","$2,068.35","$62,051"
"ASSOCIATE FIRE PROTECTION INSPECTOR","$13,513.09","$1,743,189","$13,292.51","$2,113,509","$15,603.99","$2,434,223","$17,254","$2,726,143","$15,026.92","$2,389,281","$15,743.92","$2,566,259","$14,482.71","$2,360,682"
"ASSOCIATE FRAUD INVESTIGATOR","$2,152.39","$609,126","$3,041.69","$842,548","$3,268.87","$879,327","$3,604","$922,629","$3,260.69","$841,259","$2,776.95","$710,900","$3,629.55","$907,388"
"ASSOCIATE HOUSING DEVELOPMENT SPECIALIST","$610.33","$15,869","$267.27","$8,285","$0.00","$0","$413","$12,404","$1,651.95","$66,078","$2,296.45","$98,747","$2,125.90","$116,924"
"ASSOCIATE HUMAN RIGHTS SPECIALIST","$138.72","$1,526","$379.71","$3,797","$80.99","$972","$0","$0","$14.51","$276","$0.27","$5","$0.00","$0"
"ASSOCIATE INSPECTOR","$15,834.69","$3,816,160","$14,701.26","$3,763,523","$17,823.92","$4,349,037","$16,782","$4,195,625","$15,914.07","$3,692,064","$15,688.26","$3,890,690","$10,460.40","$1,527,218"
"ASSOCIATE INVESTIGATOR","$6,995.49","$643,585","$5,297.67","$471,493","$5,834.09","$507,566","$7,455","$581,521","$8,261.00","$644,358","$7,300.72","$569,456","$3,726.48","$298,119"
"ASSOCIATE JOB OPPORTUNITY SPECIALIST","$5,491.29","$3,360,667","$6,746.72","$4,196,458","$7,455.00","$4,726,471","$7,866","$4,861,161","$7,848.90","$4,866,317","$8,502.06","$5,262,777","$9,862.70","$5,789,405"
"ASSOCIATE JUVENILE COUNSELOR","$28,039.62","$1,065,505","$28,245.81","$1,073,341","$29,109.88","$1,106,176","$40,528","$1,337,422","$41,973.13","$1,385,113",NA,NA,NA,NA
"ASSOCIATE LABOR RELATIONS ANALYST","$0.00","$0","$6.18","$43","$372.54","$2,980","$864","$10,370","$2,132.46","$14,927","$596.64","$8,353","$1,124.43","$20,240"
"ASSOCIATE LABORATORY MICROBIOLOGIST","$1,537.83","$66,127","$5,616.67","$224,667","$6,499.96","$272,998","$2,283","$102,721","$1,576.88","$72,536","$2,466.38","$103,588","$3,446.81","$151,660"
"ASSOCIATE LANDMARKS PRESERVATIONIST","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"ASSOCIATE OPERATIONS COMMUNICATIONS SPECIALIST","$6,836.66","$27,347","$8,974.05","$35,896","$10,632.90","$42,532","$17,512","$52,536","$12,462.37","$37,387","$12,904.86","$38,715","$9,563.65","$28,691"
"ASSOCIATE PARK SERVICE WORKER","$4,916.40","$1,258,599","$4,470.89","$1,260,792","$5,488.54","$1,427,022","$5,634","$1,363,350","$6,106.56","$1,428,934","$6,088.94","$1,370,010","$5,469.93","$1,646,448"
"ASSOCIATE PARKING CONTROL SPECIALIST","$16,660.80","$116,626","$18,799.42","$131,596","$21,612.25","$151,286","$19,767","$138,371","$14,969.78","$89,819","$10,794.27","$53,971","$12,727.18","$63,636"
"ASSOCIATE PROFESSOR","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
"ASSOCIATE PROJECT MANAGER","$4,750.20","$1,923,830","$4,616.67","$2,114,437","$4,457.14","$2,059,198","$4,357","$1,960,633","$3,356.28","$1,510,328","$3,050.72","$1,153,172","$1,971.84","$609,299"
"ASSOCIATE PUBLIC HEALTH SANITARIAN","$2,774.21","$285,744","$4,206.19","$437,444","$5,351.13","$588,624","$3,961","$439,647","$2,832.61","$314,420","$2,918.42","$358,966","$1,678.67","$211,512"
"ASSOCIATE PUBLIC INFORMATION SPECIALIST","$1,664.05","$98,179","$1,555.66","$26,446","$2,145.50","$19,310","$1,903","$15,223","$1,412.60","$12,713","$0.00","$0","$0.00","$0"
"ASSOCIATE PUBLIC RECORDS OFFICER","$0.00","$0","$0.90","$7","$0.00","$0","$0","$0","$8.18","$82","$8.30","$83","$359.70","$4,316"
"ASSOCIATE QUALITY ASSURANCE SPECIALIST","$6,365.14","$401,004","$5,945.23","$392,385","$5,071.83","$390,531","$6,210","$416,060","$6,271.86","$401,399","$5,924.28","$385,078","$4,403.92","$251,023"
"ASSOCIATE REAL PROPERTY MANAGER","$911.06","$26,421","$332.13","$14,282","$786.12","$32,231","$390","$15,583","$483.31","$17,882","$454.04","$14,983","$409.62","$12,289"
"ASSOCIATE REHABILITATION SPECIALIST","$1,329.42","$2,659","$1,185.82","$2,372","$2,035.39","$4,071","$411","$822","$13.07","$26","$154.26","$309","$485.78","$972"
"ASSOCIATE RETIREMENT BENEFITS EXAMINER","$3,093.70","$525,929","$3,504.70","$718,463","$3,345.44","$692,506","$3,920","$807,545","$2,153.94","$463,098","$3,517.77","$770,392","$4,121.55","$824,309"
"ASSOCIATE SANITATION ENFORCEMENT AGENT","$6,698.80","$294,747","$5,950.13","$267,756","$4,273.99","$200,878","$3,498","$171,416","$3,595.32","$165,385","$2,285.57","$100,565","$1,855.53","$85,354"
"ASSOCIATE SCHOOL FOOD SERVICE MANAGER","$2,055.63","$96,615","$3,082.67","$132,555","$3,168.92","$126,757","$2,611","$143,624","$4,195.33","$213,962","$3,076.96","$169,233","$1,898.43","$94,922"
"ASSOCIATE STAFF ANALYST","$1,946.42","$1,808,227","$2,152.95","$1,892,446","$2,126.27","$1,752,049","$2,452","$1,415,043","$2,207.70","$1,269,429","$2,184.25","$1,286,525","$1,734.08","$974,556"
"ASSOCIATE TAXI & LIMOUSINE INSPECTOR","$3,471.42","$211,757","$3,267.15","$199,296","$3,768.29","$222,329","$3,603","$198,180","$4,700.25","$225,612","$7,877.25","$346,599","$6,247.26","$262,385"
"ASSOCIATE TRAFFIC ENFORCEMENT AGENT","$15,027.21","$4,643,407","$16,891.41","$5,354,577","$18,748.00","$5,774,385","$21,037","$7,026,279","$18,392.80","$5,904,088","$17,147.12","$5,195,578","$17,854.02","$4,927,710"
"ASSOCIATE URBAN DESIGNER","$1,372.48","$38,429","$1,934.11","$50,287","$2,528.03","$78,369","$2,465","$69,013","$2,482.30","$79,434","$2,528.62","$58,158","$599.67","$8,995"
"ASSOCIATE URBAN PARK RANGER","$4,644.34","$408,702","$3,975.85","$337,947","$5,660.82","$464,187","$3,382","$294,262","$3,544.04","$333,140","$3,245.32","$311,551","$5,841.07","$525,696"
"ASSOCIATE WATER USE INPECTOR","$12,776.95","$753,840","$14,721.59","$809,687","$15,852.24","$808,464","$13,739","$673,200","$11,975.88","$502,987","$14,291.42","$557,366","$15,542.24","$450,725"
"ASSOCIATE YOUTH DEVELOPMENT SPECIALIST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$26,696.50","$1,281,432","$19,221.52","$1,230,177"
"ASST COMMISSIONER","$0.00","$0","$0.00","$0","$0.00","$0","$0","$0","$0.00","$0","$0.00","$0","$0.00","$0"
